"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jul 29 20:44:55 GMT 2023","Sat Jul 29 20:45:04 GMT 2023","9137","Parallel Test Suite","Search pages test","tests.header.VideoTest","tests.header.VideoTest","testPlayVideo_VideoPage","testPlayVideo_VideoPage",""
"failed","Sat Jul 29 20:45:10 GMT 2023","Sat Jul 29 20:45:31 GMT 2023","20922","Parallel Test Suite","Search pages test","tests.header.VideoTest","tests.header.VideoTest","testScrollToMaxPage_VideoPage","testScrollToMaxPage_VideoPage",""
"passed","Sat Jul 29 20:45:40 GMT 2023","Sat Jul 29 20:45:46 GMT 2023","6343","Parallel Test Suite","Search pages test","tests.header.VideoTest","tests.header.VideoTest","testScrollToNextPage_VideoPage","testScrollToNextPage_VideoPage",""
"passed","Sat Jul 29 20:44:38 GMT 2023","Sat Jul 29 20:44:44 GMT 2023","5669","Parallel Test Suite","Search pages test","tests.header.VideoTest","tests.header.VideoTest","testImageProxy_VideoPage","testImageProxy_VideoPage",""
"passed","Sat Jul 29 20:45:52 GMT 2023","Sat Jul 29 20:45:59 GMT 2023","6126","Parallel Test Suite","Search pages test","tests.header.VideoTest","tests.header.VideoTest","testVideoResultsEqualsSearchCriteria","testVideoResultsEqualsSearchCriteria",""
"passed","Sat Jul 29 20:44:31 GMT 2023","Sat Jul 29 20:44:38 GMT 2023","6785","Parallel Test Suite","Search pages test","tests.header.VideoTest","tests.header.VideoTest","testFilterSearch_VideoPage","testFilterSearch_VideoPage",""
"passed","Sat Jul 29 20:44:18 GMT 2023","Sat Jul 29 20:44:31 GMT 2023","12460","Parallel Test Suite","Search pages test","tests.header.VideoTest","tests.header.VideoTest","testCheckboxNoRemindMe_VideoPage","testCheckboxNoRemindMe_VideoPage",""
"passed","Sat Jul 29 20:44:44 GMT 2023","Sat Jul 29 20:44:55 GMT 2023","10187","Parallel Test Suite","Search pages test","tests.header.VideoTest","tests.header.VideoTest","testPlayVideoFromSideList","testPlayVideoFromSideList",""
"passed","Sat Jul 29 20:45:59 GMT 2023","Sat Jul 29 20:46:05 GMT 2023","5869","Parallel Test Suite","Search pages test","tests.header.VideoTest","tests.header.VideoTest","testVideoResultsEqualsSearchCriteriaWhenWatchingVideo","testVideoResultsEqualsSearchCriteriaWhenWatchingVideo",""
"passed","Sat Jul 29 20:45:47 GMT 2023","Sat Jul 29 20:45:52 GMT 2023","5441","Parallel Test Suite","Search pages test","tests.header.VideoTest","tests.header.VideoTest","testSuggestEqualsSearchCriteria_VideoSearch","testSuggestEqualsSearchCriteria_VideoSearch",""
"passed","Sat Jul 29 20:44:12 GMT 2023","Sat Jul 29 20:44:18 GMT 2023","6500","Parallel Test Suite","Search pages test","tests.header.VideoTest","tests.header.VideoTest","testCancelFilterSearch_VideoPage","testCancelFilterSearch_VideoPage",""
"broken","Sat Jul 29 20:46:16 GMT 2023","Sat Jul 29 20:46:47 GMT 2023","31140","Parallel Test Suite","Autobahn test","tests.AutobahnTest","tests.AutobahnTest","testRegularBotAndError429Page","testRegularBotAndError429Page",""
"passed","Sat Jul 29 20:45:32 GMT 2023","Sat Jul 29 20:45:40 GMT 2023","7658","Parallel Test Suite","Search pages test","tests.header.VideoTest","tests.header.VideoTest","testScrollToNextPageWhenWatchingVideo_VideoPage","testScrollToNextPageWhenWatchingVideo_VideoPage",""
"passed","Sat Jul 29 20:46:05 GMT 2023","Sat Jul 29 20:46:16 GMT 2023","10347","Parallel Test Suite","Autobahn test","tests.AutobahnTest","tests.AutobahnTest","testBrazilianBotsAndError429Page","testBrazilianBotsAndError429Page",""
"passed","Sat Jul 29 20:45:04 GMT 2023","Sat Jul 29 20:45:10 GMT 2023","5748","Parallel Test Suite","Search pages test","tests.header.VideoTest","tests.header.VideoTest","testRegionalSearch_VideoPage","testRegionalSearch_VideoPage",""
